SKU,productCategoryId,productCategory_caption_UKR,productCategory_caption_RU,productCategory_caption_ENG,productTypeId,productType_caption_UKR,productType_caption_RU,productType_caption_ENG,brandId,lagerUnitQuantity,lagerUnitTypeId,lagerUnitType_caption,trademark,countryOfOrigin,countryOfOrigin_caption,commodity_group,commodity_group_caption_UKR,commodity_group_caption_RU,commodity_group_caption_ENG
17,5416.0,Хурма,Хурма,Persimmon,4770.0,Тропічні фрукти - Хурма - Звичайна,Тропические фрукты - Хурма - Обычная,Tropical fruit — Persimmon — Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
18,5413.0,Фейхоа,Фейхоа,Feijoa,4772.0,Тропічні фрукти - Екзотичні,Тропические фрукты - Экзотические,Tropical fruit — Exotic,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
24,5425.0,Гранат,Гранат,Pomegranate,4760.0,Тропічні фрукти - Гранат - Звичайний,Тропические фрукты - Гранат - Обычный,Tropical fruit — Pomegranate— Plain,,1.0,1,г         ,,,,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
25,5431.0,Апельсин,Апельсин,Orange,4773.0,Цитрусові фрукти - Апельсин - Звичайний,Цитрусовые фрукты - Апельсин - Обычный,Citrus fruit — Orange — Plain,,1.0,2,кг        ,,8.0,Іспанія,5551018,Фрукти тропічні,Фрукты тропические,Tropical fruits
208,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3457.0,Лікувально-столова вода - Україна - ПЕТ - від 1л до 2л,Лечебно-столовая вода - Украина - ПЭТ - от 1л до 2л,Therapeutic-table water — Ukraine — PET — from 1 to 2 L,1241.0,1.5,3,л         ,3670.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
324,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3456.0,"Лікувально-столова вода - Україна - ПЕТ - до 0,99л","Лечебно-столовая вода - Украина - ПЭТ - до 0,99л",Table water — Ukraine — PET — up to 0.99 L,1241.0,0.5,3,л         ,3670.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
487,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1424.0,1.5,3,л         ,963.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
798,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1951.0,2.0,3,л         ,69.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
802,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3469.0,Столова вода - Україна - ПЕТ - від 1л до 2л - Сильногазированная,Столовая вода - Украина - ПЭТ - от 1л до 2л - Сильногазированная,Table water — Ukraine — PET — from 1 to 2 L — Strongly sparkling,1951.0,1.0,3,л         ,69.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
819,5835.0,Вода України газована,Вода Украины газированная,"Water, Ukraine, sparkling",3452.0,Смакова вода - Україна - ПЕТ - від 1л до 2л,Вкусовая вода - Украина - ПЭТ - от 1л до 2л,Flavored water — Ukraine — PET — from 1 to 2 L,1951.0,1.0,3,л         ,69.0,1.0,Україна,5550022,Вода Мфнеральна,Вода Минеральная,Mineral water
